"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Ben Brown","CHC","SP,RP","52.2","59","3","0","3.57","1.19","21","43","19","6","29","4","2","0","2%"
"Dean Kremer","BAL","SP","144.5","127","9","0","4.28","1.30","69","138","49","21","26","26","8","0","2%"
"Jesus Tinoco","MIA","RP","63.4","64","3","6","3.90","1.30","28","58","25","7","59","0","3","0","2%"
"Will Warren","NYY","SP","99.6","94","5","0","4.38","1.33","49","96","36","13","32","16","6","0","5%"
"David Robertson","","RP","55.5","67","3","3","3.39","1.21","21","44","23","6","46","0","3","0","2%"
"Osvaldo Bido","ATH","SP,RP","89.8","83","4","0","4.40","1.31","44","82","36","12","31","13","5","0","1%"
"Tyler Mahle","TEX","SP","123.5","113","7","0","4.24","1.24","58","114","39","18","23","23","7","0","1%"
"Bryan Hudson","MIL","RP","61.4","65","3","2","3.40","1.18","23","51","22","7","55","0","3","0","2%"
"Andrew Abbott","CIN","SP","141.0","132","8","0","4.49","1.33","70","135","52","24","25","25","9","0","3%"
"Robert Garcia","TEX","RP","64.6","74","4","8","3.49","1.20","25","54","23","7","63","0","3","0","4%"
"Dylan Lee","ATL","RP","63.1","72","3","0","3.37","1.15","24","54","18","8","60","0","3","0","1%"
"Jordan Montgomery","ARI","SP","105.2","83","6","0","4.31","1.34","50","110","32","13","32","15","5","0","1%"
"Keegan Akin","BAL","RP","70.4","78","4","1","3.53","1.15","28","60","21","9","64","0","3","0","1%"
"Jose Alvarado","PHI","RP","61.0","69","3","4","3.46","1.27","23","50","28","5","60","0","3","0","4%"
"Zebby Matthews","MIN","SP","86.3","80","5","0","4.10","1.21","39","86","18","13","30","13","5","0","2%"
"Justin Slaten","BOS","RP","64.9","68","3","4","3.88","1.29","28","60","24","8","58","0","3","0","4%"
"Cole Sands","MIN","RP","65.2","71","4","2","3.67","1.18","27","57","19","8","59","0","3","0","1%"
"Jake Irvin","WSH","SP","165.8","137","9","0","4.38","1.29","81","161","53","24","29","29","10","0","4%"
"Joel Payamps","MIL","RP","62.9","61","4","5","3.68","1.20","26","56","20","8","61","0","3","0","5%"
"Yennier Cano","BAL","RP","63.6","63","3","3","3.40","1.25","24","57","23","6","61","0","3","0","11%"
"Sean Burke","CWS","SP","120.5","119","6","0","4.49","1.38","60","111","55","18","28","23","9","0","2%"
"Jorge Lopez","WSH","RP","61.3","54","3","6","4.22","1.34","29","60","22","8","58","0","3","0","1%"
"Casey Mize","DET","SP","118.2","93","6","0","4.29","1.31","56","120","34","14","23","23","7","0","4%"
"Yimi Garcia","TOR","RP","60.4","67","3","4","3.55","1.14","24","51","18","8","57","0","3","0","4%"
"A.J. Minter","NYM","RP","55.7","63","3","2","3.39","1.15","21","45","19","6","55","0","3","0","3%"
"JP Sears","ATH","SP","175.6","141","9","0","4.64","1.28","90","174","51","30","31","31","12","0","2%"
"Alex Vesia","LAD","RP","61.0","77","4","1","3.51","1.18","24","46","26","8","60","0","3","0","5%"
"Andrew Painter","PHI","SP","62.9","63","3","0","4.14","1.25","29","58","21","9","16","11","3","0","9%"
"Jon Gray","TEX","SP","123.5","110","6","0","4.35","1.27","60","119","39","18","27","21","7","0","1%"
"Tony Gonsolin","LAD","SP","91.0","80","5","0","4.35","1.26","44","84","31","14","36","13","4","0","2%"
"Garrett Whitlock","BOS","SP","63.6","62","3","2","3.61","1.17","25","59","15","7","53","0","3","0","2%"
"Luis Garcia","LAD","RP","23.6","21","1","0","3.95","1.29","10","23","7","3","23","0","1","0","1%"
"Will Vest","DET","RP","68.4","66","3","2","3.55","1.22","27","62","22","6","66","0","3","0","1%"
"Jose Leclerc","ATH","RP","66.2","77","3","3","3.83","1.27","28","53","31","8","63","0","3","0","1%"
"Jacob Misiorowski","MIL","SP,RP","33.5","36","2","0","4.42","1.44","16","28","20","4","27","1","2","0","2%"
"Alex Cobb","DET","SP","94.7","78","6","0","3.83","1.28","40","94","28","9","18","18","5","1","1%"
"Ben Lively","CLE","SP","135.6","105","8","0","4.57","1.35","69","138","44","21","25","25","9","0","2%"
"Dedniel Nunez","NYM","RP","49.9","58","3","0","3.43","1.19","19","41","18","5","45","0","2","0","1%"
"Hayden Wesneski","HOU","SP,RP","88.8","82","4","0","4.26","1.27","42","83","30","13","37","11","5","0","1%"
"Hector Neris","ATL","RP","57.3","61","4","1","4.05","1.31","26","51","24","7","56","0","3","0","1%"
"Tim Herrin","CLE","RP","62.6","66","3","0","3.39","1.24","24","52","25","5","61","0","3","0","1%"
"Jack Leiter","TEX","SP,RP","109.6","111","5","0","4.64","1.36","56","101","48","16","32","18","7","0","4%"
"Cade Povich","BAL","SP","85.5","78","5","0","4.34","1.32","41","80","33","12","22","15","5","0","1%"
"Matt Festa","TEX","RP","11.3","12","1","0","4.26","1.27","5","10","4","1","10","0","1","0","0%"
"Kyle Bradish","BAL","SP","17.0","18","1","0","3.42","1.16","6","14","5","2","8","2","1","0","2%"
"Hunter Gaddis","CLE","RP","67.1","61","3","1","3.88","1.18","29","60","20","9","62","0","4","0","9%"
"Tyler Kinley","COL","RP","62.7","65","3","13","4.60","1.38","32","60","26","9","62","0","3","0","2%"
"Michael McGreevy","STL","SP","70.5","52","4","0","3.94","1.28","31","72","18","8","36","6","3","0","2%"
"Clayton Kershaw","LAD","SP","62.9","59","5","0","3.81","1.21","27","59","18","8","12","12","3","0","7%"
"Aaron Bummer","ATL","RP","63.4","73","4","1","3.31","1.28","23","56","25","4","61","0","3","0","0%"
"Miles Mikolas","STL","SP","174.0","121","9","0","4.54","1.26","88","187","33","26","30","30","11","0","2%"
"Kenta Maeda","DET","SP,RP","76.1","69","3","0","4.45","1.26","38","74","22","12","40","6","4","0","0%"
"JoJo Romero","STL","RP","60.3","57","3","1","3.73","1.26","25","56","20","7","59","0","3","0","3%"
"Luis Garcia","HOU","SP","93.3","93","6","0","4.13","1.24","43","85","31","14","23","16","5","0","2%"
"Jose Quintana","MIL","SP","133.1","108","8","0","4.36","1.37","64","132","50","17","24","24","8","0","2%"
"Andrew Heaney","PIT","SP","132.8","125","7","0","4.42","1.29","65","130","41","20","31","24","8","0","2%"
"Seranthony Dominguez","BAL","RP","62.3","67","3","4","3.82","1.25","26","54","24","8","62","0","3","0","2%"
"Brant Hurter","DET","RP","53.0","44","3","0","3.77","1.21","22","51","13","6","43","1","3","0","1%"
"Fernando Cruz","NYY","SP,RP","63.3","87","3","0","3.62","1.23","25","49","29","7","62","0","3","0","3%"
"Triston McKenzie","CLE","SP","104.4","97","5","0","4.77","1.42","55","98","50","18","32","17","7","0","1%"
"Tylor Megill","NYM","SP","90.1","94","5","0","4.02","1.28","40","82","34","11","41","11","4","0","1%"
"Logan Allen","CLE","SP","32.3","27","2","0","4.64","1.41","17","33","13","5","7","5","2","0","0%"
"Pierce Johnson","ATL","RP","64.3","77","4","3","3.69","1.29","26","56","27","7","62","0","3","0","1%"
"Danny Coulombe","MIN","RP","50.9","53","3","1","3.56","1.18","20","45","15","6","49","0","2","0","1%"
"Jared Koenig","MIL","SP,RP","64.2","61","3","2","3.82","1.30","27","60","23","7","58","0","4","0","1%"
"Marcus Stroman","NYY","SP","140.8","105","7","0","4.43","1.37","69","143","50","18","27","25","8","0","3%"
"Paul Sewald","CLE","RP","58.1","64","3","1","3.84","1.17","25","49","19","9","55","0","3","0","2%"
"Cristian Javier","HOU","SP","21.0","22","1","0","4.07","1.23","9","17","9","3","15","0","1","0","1%"
"Kevin Kelly","TB","RP","49.0","44","2","0","3.57","1.15","19","45","11","5","46","0","2","0","1%"
"Justin Anderson","CWS","RP","63.3","66","2","7","4.35","1.41","31","58","31","8","62","0","3","0","0%"
"Hunter Harvey","KC","RP","61.2","63","3","2","3.74","1.21","25","55","19","7","58","0","3","0","2%"
"Davis Martin","CWS","SP","124.6","109","6","0","4.52","1.36","63","124","46","18","25","25","9","0","0%"
"Andrew Nardi","MIA","RP","46.3","57","2","2","3.70","1.23","19","39","18","6","45","0","2","0","1%"
"Brock Stewart","MIN","RP","54.4","67","3","1","3.65","1.26","22","45","23","6","50","0","2","0","0%"
"Yuki Matsui","SD","RP","58.8","67","3","1","3.65","1.24","24","48","25","7","57","0","2","0","1%"
"Joey Cantillo","CLE","SP","85.1","87","5","0","4.01","1.33","38","75","38","10","26","15","5","0","1%"
"Craig Kimbrel","","RP","43.1","53","3","3","4.03","1.28","19","35","21","6","36","0","3","0","1%"
"Mitchell Parker","WSH","SP","144.5","127","7","0","4.37","1.33","70","141","52","20","31","27","9","0","1%"
"Matt Brash","SEA","RP","43.4","56","2","2","3.17","1.23","15","34","19","4","43","0","2","0","1%"
"Derek Law","WSH","RP","72.5","62","4","5","3.92","1.32","32","70","25","8","68","0","4","0","1%"
"Louis Varland","MIN","SP,RP","63.6","62","3","1","4.09","1.27","29","62","19","9","48","3","4","0","0%"
"Gregory Santos","SEA","RP","55.9","56","3","3","3.28","1.23","20","49","20","4","50","0","2","0","0%"
"Reed Garrett","NYM","RP","65.3","77","4","2","3.75","1.32","27","56","30","7","61","0","4","0","1%"
"Manuel Rodriguez","TB","RP","61.0","59","3","2","3.72","1.28","25","55","23","6","59","0","3","0","1%"
"Kyle Gibson","","SP","122.9","103","7","0","4.51","1.38","62","125","45","17","21","21","7","0","0%"
"Lance Lynn","","SP","110.3","103","6","0","4.56","1.33","56","108","38","17","20","20","7","0","0%"
"Jose Butto","NYM","SP,RP","64.4","64","4","1","3.80","1.26","27","55","27","7","54","0","3","0","2%"
"Tyler Anderson","LAA","SP","171.1","136","9","0","4.68","1.37","89","169","64","27","29","29","11","0","2%"
"Garrett Cleavinger","TB","RP","62.1","73","3","3","3.89","1.30","27","51","29","7","61","0","4","0","1%"
"Anthony Bender","MIA","RP","59.6","61","3","5","3.80","1.28","25","55","22","6","57","0","3","0","0%"
"Ian Hamilton","NYY","RP","59.6","65","3","1","3.54","1.26","23","51","24","6","54","0","3","0","0%"
"Yariel Rodriguez","TOR","SP","96.6","100","5","0","4.09","1.30","44","83","43","12","46","12","5","0","0%"
"Ryan Brasier","CHC","SP,RP","56.8","55","3","2","3.61","1.17","23","50","16","6","55","0","2","0","1%"
"Tyson Miller","CHC","RP","62.6","58","3","1","4.02","1.25","28","57","21","8","58","0","3","0","1%"
"Adrian Morejon","SD","RP","61.8","64","3","1","3.62","1.24","25","55","21","7","59","0","3","0","1%"
"Chris Paddack","MIN","SP","105.5","95","5","0","4.34","1.27","51","108","27","15","35","15","5","0","1%"
"Simeon Woods Richardson","MIN","SP","124.7","105","7","0","4.52","1.35","63","122","46","18","25","25","8","0","1%"
"Michael Lorenzen","KC","SP,RP","137.8","105","6","0","4.58","1.40","70","134","58","18","42","22","8","0","2%"
"Noah Cameron","KC","SP","28.0","26","2","0","3.94","1.26","12","27","8","3","24","1","2","0","0%"
"Andrew Kittredge","BAL","RP","36.5","33","2","1","3.85","1.21","16","34","10","5","35","0","2","0","2%"
"Richard Fitts","BOS","SP","45.5","35","2","0","4.61","1.36","23","48","14","7","24","4","3","0","1%"
"Aaron Ashby","MIL","RP","62.1","62","3","0","4.04","1.40","28","56","31","6","35","5","3","0","0%"
"Tony Santillan","CIN","RP","57.6","66","3","2","4.30","1.36","28","51","27","8","54","0","3","0","1%"
"Jakob Junis","CLE","SP,RP","67.0","61","3","0","4.06","1.20","30","65","15","9","45","3","3","0","1%"
"Noah Schultz","CWS","SP","39.5","37","2","0","4.09","1.28","18","37","14","5","8","8","2","0","4%"
"Emerson Hancock","SEA","SP","61.7","44","3","0","4.61","1.34","32","61","21","10","20","10","4","0","1%"
"Beau Brieske","DET","SP,RP","66.3","63","3","8","3.94","1.28","29","59","25","8","58","0","4","0","2%"
"Martin Perez","CWS","SP","140.7","103","6","0","4.59","1.43","72","149","51","20","25","25","10","0","1%"
"Ian Anderson","ATL","SP","82.9","71","5","0","4.41","1.42","41","82","35","10","24","14","4","0","1%"
"Kyle Hart","SD","SP","92.2","77","4","0","4.39","1.32","45","90","32","14","33","13","4","1","0%"
"Trent Thornton","SEA","RP","66.3","65","3","1","3.77","1.20","28","59","20","9","63","0","3","0","0%"
"Eduard Bazardo","SEA","RP","30.7","32","2","0","3.65","1.20","12","26","11","3","28","0","1","0","0%"
"AJ Smith-Shawver","ATL","SP","78.4","81","4","0","4.20","1.30","37","69","33","11","36","11","4","0","1%"
"Ryan Thompson","ARI","RP","63.3","51","4","0","3.73","1.27","26","62","18","6","61","0","3","0","1%"
"Nick Sandlin","TOR","RP","60.7","65","3","0","4.00","1.28","27","50","27","8","60","0","3","0","1%"
"Colin Poche","WSH","RP","55.2","51","3","1","4.17","1.28","26","50","21","8","54","0","3","0","0%"
"Hoby Milner","TEX","RP","57.1","52","2","0","3.80","1.20","24","54","14","7","55","0","3","0","0%"
"Andre Pallante","STL","SP,RP","145.6","107","8","0","3.97","1.39","64","144","58","12","34","24","8","0","3%"
"Erik Miller","SF","SP,RP","62.4","76","3","1","3.51","1.30","24","48","33","5","62","0","3","0","1%"
"Mark Leiter Jr.","NYY","RP","60.4","72","3","1","3.82","1.22","26","51","22","8","57","0","3","0","1%"
"Jose A. Ferrer","WSH","RP","59.2","49","3","3","3.81","1.28","25","57","19","6","56","0","3","0","1%"
"Tyler Rogers","SF","RP","70.0","50","3","2","3.72","1.22","29","70","15","7","68","0","3","0","6%"
"Trevor Williams","WSH","SP","109.4","87","5","0","4.48","1.34","54","112","35","16","40","17","6","0","1%"
"Landen Roupp","SF","SP,RP","101.6","100","5","0","3.76","1.30","42","89","43","9","41","14","5","0","1%"
"Joe Mantiply","ARI","RP","58.8","51","3","0","3.77","1.26","25","57","17","6","59","0","3","0","0%"
"Prelander Berroa","CWS","RP","23.9","26","1","1","4.67","1.57","12","20","17","3","20","0","2","0","0%"
"Angel Perdomo","ATL","RP","50.7","65","3","0","3.71","1.28","21","40","25","6","48","0","3","0","0%"
"Sean Guenther","DET","RP","41.2","33","2","0","3.77","1.25","17","40","11","4","39","0","2","0","0%"
"Cade Cavalli","WSH","SP","80.8","76","4","0","4.27","1.33","38","74","33","10","24","14","5","1","1%"
"Brady Basso","ATH","SP","48.0","45","2","0","4.02","1.23","21","45","14","7","33","3","3","0","0%"
"Gregory Soto","BAL","RP","59.6","66","3","1","3.67","1.30","24","51","27","5","59","0","3","0","0%"
"Eli Morgan","CHC","RP","51.1","48","3","0","4.05","1.23","23","47","16","7","48","0","2","0","1%"
"Craig Yoho","MIL","RP","42.7","50","2","0","3.62","1.27","17","36","18","5","42","0","2","0","1%"
"Javier Assad","CHC","SP","131.9","109","7","0","4.25","1.36","62","128","52","17","36","23","7","0","1%"
"Steven Matz","STL","SP,RP","100.5","87","5","0","4.18","1.30","47","100","31","13","31","17","5","0","0%"
"Jonathan Loaisiga","NYY","RP","35.7","29","2","0","3.65","1.24","14","34","10","3","33","0","2","0","0%"
"Taylor Rogers","CIN","RP","61.9","68","3","6","4.17","1.30","29","56","24","9","61","0","3","0","1%"
"Brandon Sproat","NYM","SP","29.3","25","2","0","4.38","1.33","14","28","11","4","6","6","2","0","2%"
"Abner Uribe","MIL","RP","48.9","55","2","2","3.60","1.36","20","38","29","4","45","0","2","0","0%"
"Caleb Thielbar","CHC","RP","56.9","62","3","0","3.80","1.25","24","50","21","7","57","0","3","0","0%"
"Tanner Banks","PHI","RP","66.8","65","3","0","3.88","1.25","29","63","21","8","61","0","3","0","0%"
"Landon Knack","LAD","SP","49.7","49","2","0","4.18","1.23","23","45","16","8","31","3","2","0","1%"
"Tommy Kahnle","DET","RP","52.5","54","2","2","3.64","1.27","21","44","22","6","50","0","2","0","2%"
"Nate Pearson","CHC","RP","54.4","59","2","1","3.91","1.25","24","47","21","7","51","0","3","0","0%"
"Sawyer Gipson-Long","DET","SP","36.2","34","2","0","4.05","1.23","16","34","10","5","23","3","2","0","1%"
"Jake Cousins","NYY","RP","53.0","64","3","1","3.75","1.27","22","41","26","6","50","0","2","0","0%"
"Michael Soroka","WSH","SP,RP","106.1","99","5","0","4.43","1.34","52","99","43","15","37","15","7","0","4%"
"Ryne Stanek","NYM","RP","57.8","64","3","0","3.96","1.30","25","48","27","7","57","0","3","0","1%"
"Jorge Alcala","MIN","RP","62.2","65","3","0","4.03","1.26","28","53","25","8","59","0","3","0","1%"
"Griffin Canning","NYM","SP","93.5","80","5","0","4.51","1.32","47","91","33","14","35","12","5","0","1%"
"Keegan Thompson","CHC","RP","36.8","38","2","1","3.97","1.30","16","31","17","5","30","0","2","0","0%"
"Hunter Bigge","TB","RP","51.1","58","2","0","4.08","1.36","23","44","25","7","49","0","2","0","0%"
"Danny Young","NYM","RP","54.0","59","3","0","3.79","1.32","23","46","25","5","53","0","3","0","0%"
"Mitch Spence","ATH","SP,RP","120.5","95","6","0","4.43","1.33","59","124","36","17","26","20","7","0","1%"
"Justin Topa","MIN","RP","43.6","38","2","0","3.90","1.31","19","42","15","4","41","0","2","0","0%"
"Victor Vodnik","COL","RP","66.3","62","3","4","4.38","1.47","32","66","31","7","62","0","4","0","0%"
"Ryan Burr","TOR","SP,RP","44.5","52","2","0","3.71","1.23","18","39","16","6","43","0","2","0","0%"
"Erik Swanson","TOR","RP","46.7","46","2","1","4.28","1.29","22","44","16","7","46","0","2","0","0%"
"Kyle Wright","KC","SP","79.1","67","4","0","4.22","1.33","37","78","27","9","30","11","5","0","0%"
"Thomas Harrington","PIT","SP","12.0","9","1","0","4.44","1.29","6","12","3","2","3","2","1","0","1%"
"Dennis Santana","PIT","RP","66.7","63","3","3","4.19","1.35","31","62","28","7","63","0","3","0","1%"
"Joe Boyle","TB","SP","58.1","68","3","0","4.29","1.48","28","45","40","6","35","5","3","0","0%"
"Matt Waldron","SD","SP","76.4","63","4","0","4.54","1.27","39","76","21","12","19","11","5","0","0%"
"DL Hall","MIL","SP,RP","43.5","46","2","0","4.03","1.34","20","39","20","5","26","4","2","0","1%"
"Spencer Turnbull","","SP,RP","61.8","57","4","0","4.17","1.29","29","57","23","7","13","11","4","0","0%"
"Colin Rea","CHC","SP,RP","119.3","94","6","0","4.53","1.30","60","121","34","18","29","19","7","0","1%"
"Chase Dollander","COL","SP","91.2","85","4","0","4.90","1.43","50","92","39","14","17","17","6","0","3%"
"Slade Cecconi","CLE","SP,RP","51.8","47","2","0","4.28","1.22","25","51","13","8","34","3","3","0","0%"
"Lance McCullers Jr.","HOU","SP","77.7","76","5","0","3.86","1.32","33","70","32","8","26","11","4","0","1%"
"Ryan Feltner","COL","SP","164.7","139","7","0","4.85","1.40","89","172","59","23","30","30","11","0","0%"
"Alec Marsh","KC","SP","102.4","98","5","0","4.57","1.34","52","99","38","15","29","18","7","0","0%"
"Michel Otanez","ATH","RP","59.7","74","3","1","3.89","1.38","26","48","35","6","58","0","3","0","0%"
"James Karinchak","CWS","RP","36.4","46","2","0","4.12","1.35","17","28","21","5","35","0","2","0","0%"
"Hurston Waldrep","ATL","SP","22.4","20","1","0","4.51","1.47","11","22","11","3","13","2","1","0","1%"
"Ryan Fernandez","STL","RP","65.5","65","3","1","3.84","1.30","28","60","26","7","62","0","3","0","0%"
"Caden Dana","LAA","SP","67.6","58","4","0","4.80","1.35","36","66","26","11","13","13","5","0","1%"
"John Means","CLE","SP","26.4","21","2","0","3.77","1.13","11","23","7","4","6","5","2","0","1%"
"Angel Chivilli","COL","RP","53.2","48","2","0","4.58","1.39","27","54","20","8","50","0","3","0","0%"
"Shinnosuke Ogasawara","WSH","SP","59.9","49","2","0","4.68","1.38","31","61","21","8","30","8","2","0","0%"
"Daniel Lynch","KC","SP,RP","66.2","52","3","0","4.34","1.33","32","67","20","9","42","4","3","0","0%"
"Colin Holderman","PIT","RP","62.0","62","3","4","3.88","1.31","27","55","26","6","60","0","3","0","1%"
"Mason Montgomery","TB","RP","53.4","54","2","1","4.15","1.31","25","50","20","8","47","0","3","0","1%"
"Emilio Pagan","CIN","RP","62.2","65","3","3","4.32","1.25","30","57","21","11","60","0","3","0","0%"
"Paul Blackburn","NYM","SP","93.4","76","5","0","4.44","1.34","46","95","30","13","40","12","5","0","0%"
"Hans Crouse","LAA","RP","52.4","63","3","0","4.06","1.31","24","43","26","7","50","0","3","0","0%"
"Justin Wrobleski","LAD","SP,RP","40.6","36","2","0","4.35","1.32","20","39","15","6","31","1","2","0","0%"
